@relation	AllLipidGatewayCompounds

@attribute	ID	string
@attribute	Mass	numeric
@attribute	NumofC	numeric
@attribute	NumofH	numeric
@attribute	NumofO	numeric
@attribute	NumofN	numeric
@attribute	NumofP	numeric
@attribute	NumofS	numeric
@attribute	H:C	numeric
@attribute	H:O	numeric
@attribute	C:O	numeric
@attribute	C:N	numeric
@attribute	C:S	numeric
@attribute	C:P	numeric
@attribute	Afterdecmass	numeric
@attribute	AMD	numeric
@attribute	RMD	numeric
@attribute	class	{Fatty_Acyls,Glycerolipids,Glycerophospholipids,Polyketides,Prenol_Lipids,Saccharolipids,Sphingolipids,Sterol_Lipids}

@data
LMFA06000188,224.17763,14,24,2,0,0,0,1.714285714,12,7,0,0,0,0.1776,0.1776,792,Fatty_Acyls
LMFA07050207,979.220067,32,52,20,7,3,1,1.625,2.6,1.6,4.571428571,32,10.66666667,0.2201,0.2201,225,Fatty_Acyls
LMFA11000016,418.359951,31,46,0,0,0,0,1.483870968,0,0,0,0,0,0.36,0.36,861,Fatty_Acyls
LMFA12000318,322.287181,21,38,2,0,0,0,1.80952381,19,10.5,0,0,0,0.2872,0.2872,891,Fatty_Acyls
LMFA01020296,466.474981,31,62,2,0,0,0,2,31,15.5,0,0,0,0.475,0.475,1018,Fatty_Acyls
LMFA01020052,312.302831,20,40,2,0,0,0,2,20,10,0,0,0,0.3028,0.3028,970,Fatty_Acyls
LMFA08020119,381.324294,23,43,3,1,0,0,1.869565217,14.33333333,7.666666667,23,0,0,0.3243,0.3243,850,Fatty_Acyls
LMFA01090136,57.997277,2,2,2,0,0,0,1,1,1,0,0,0,0.8063,0.1937,621,Fatty_Acyls
LMFA03120018,444.214806,25,32,7,0,0,0,1.28,4.571428571,3.571428571,0,0,0,0.2148,0.2148,484,Fatty_Acyls
LMFA05000470,128.120115,8,16,1,0,0,0,2,16,8,0,0,0,0.1201,0.1201,937,Fatty_Acyls
LMFA01050195,280.203846,17,28,3,0,0,0,1.647058824,9.333333333,5.666666667,0,0,0,0.2038,0.2038,727,Fatty_Acyls
LMFA01030589,224.17763,14,24,2,0,0,0,1.714285714,12,7,0,0,0,0.1776,0.1776,792,Fatty_Acyls
LMFA01060132,326.282096,20,38,3,0,0,0,1.9,12.66666667,6.666666667,0,0,0,0.2821,0.2821,865,Fatty_Acyls
LMFA06000118,102.031695,4,6,3,0,0,0,1.5,2,1.333333333,0,0,0,0.0317,0.0317,311,Fatty_Acyls
LMFA01040053,356.219891,19,32,6,0,0,0,1.684210526,5.333333333,3.166666667,0,0,0,0.2199,0.2199,617,Fatty_Acyls
LMFA03110032,354.240626,20,34,5,0,0,0,1.7,6.8,4,0,0,0,0.2406,0.2406,679,Fatty_Acyls
LMFA02000004,314.245711,18,34,4,0,0,0,1.888888889,8.5,4.5,0,0,0,0.2457,0.2457,782,Fatty_Acyls
LMFA07050009,947.266632,33,56,17,7,3,1,1.696969697,3.294117647,1.941176471,4.714285714,33,11,0.2666,0.2666,281,Fatty_Acyls
LMFA03060073,336.230061,20,32,4,0,0,0,1.6,8,5,0,0,0,0.2301,0.2301,684,Fatty_Acyls
LMFA07050030,851.136347,25,40,18,7,3,1,1.6,2.222222222,1.388888889,3.571428571,25,8.333333333,0.1363,0.1363,160,Fatty_Acyls
LMFA07010667,240.20893,15,28,2,0,0,0,1.866666667,14,7.5,0,0,0,0.2089,0.2089,870,Fatty_Acyls
LMFA01090096,391.357601,26,47,2,0,0,0,1.807692308,23.5,13,0,0,0,0.2759,0.2759,587,Fatty_Acyls
LMFA06000006,96.057515,6,8,1,0,0,0,1.333333333,8,6,0,0,0,0.0575,0.0575,599,Fatty_Acyls
LMFA03010098,454.256671,24,38,8,0,0,0,1.583333333,4.75,3,0,0,0,0.2567,0.2567,565,Fatty_Acyls
LMFA03040010,352.224974,20,32,5,0,0,0,1.6,6.4,4,0,0,0,0.225,0.225,639,Fatty_Acyls
LMFA01030800,142.09938,8,14,2,0,0,0,1.75,7,4,0,0,0,0.0994,0.0994,700,Fatty_Acyls
LMFA11000652,140.1565,10,20,0,0,0,0,2,0,0,0,0,0,0.1565,0.1565,1117,Fatty_Acyls
LMFA07050230,949.209503,31,50,19,7,3,1,1.612903226,2.631578947,1.631578947,4.428571429,31,10.33333333,0.2095,0.2095,221,Fatty_Acyls
LMFA03110103,334.214411,20,30,4,0,0,0,1.5,7.5,5,0,0,0,0.2144,0.2144,642,Fatty_Acyls
LMFA07050029,809.125782,23,38,17,7,3,1,1.652173913,2.235294118,1.352941176,3.285714286,23,7.666666667,0.1258,0.1258,155,Fatty_Acyls
